"cruise"	"ship"	"ship_code"	"sample_number"	"time_UTC"	"latitude_degrees_north"	"longitude_degrees_east"	"start_temperature_degC"	"start_salinity_psu"	"start_wind_speed_knots"	"start_wind_direction_degrees"	"start_pump_speed_M3PerMin"	"stop_time_UTC"	"stop_latitude_degrees_north"	"stop_longitude_degrees_east"	"stop_temperature_degC"	"stop_salinity_psu"	"stop_wind_speed_knots"	"stop_wind_direction_degrees"	"stop_pump_speed_m3PerMin"	"sardine_eggs_count"	"anchovy_eggs_count"	"jack_mackerel_eggs_count"	"hake_eggs_count"	"squid_eggs_count"	"other_fish_eggs_count"	"comments"	"resorted"	"DateTime"	"YYYY"	"MM"	"DateEdit"	"AnchSard"	"Sard"	"Anch"	"SardAnch"
"38"	199805	"DAVID STARR JORDAN"	"JD"	7	1998-05-01 19:30:04	32.9271	-117.9115	17.77	33.442	3.56	212.2786	0.64	1998-05-01 20:00:04	32.9506	-118.0055	17.621	33.538	3.29	220.0499	0.64	0	0	NA	0	1	0	"1 se, 1anch larvae"	"t"	1998-05-01 19:30:04	1998	"05"	"1998-05-01"	38441	0	0	0
"39"	199707	"DAVID STARR JORDAN"	"JD"	7	1997-07-02 04:04:23	32.7181	-117.8044	20.802	33.622	11.71	302.3589	0.64	1997-07-02 04:29:17	32.6803	-117.872	19.773	33.548	12.09	309.7274	0.64	0	0	0	0	NA	0	NA	"t"	1997-07-02 04:04:23	1997	"07"	"1997-07-02"	38441	0	0	0
"40"	199806	"DAVID STARR JORDAN"	"JD"	7	1998-06-13 08:01:19	35.8845	-121.6383	15.881	32.914	5.63	299.3233	0.64	1998-06-13 08:31:20	35.8088	-121.5874	15.564	32.958	2.99	243.4765	0.64	0	0	4	0	NA	0	NA	"t"	1998-06-13 08:01:19	1998	"06"	"1998-06-13"	38441	0	0	0
"41"	199803	"DAVID STARR JORDAN"	"JD"	7	1998-02-19 21:29:52	33.025	-117.7226	16.156	33.397	9.05	102.8029	0.64	1998-02-19 21:59:52	33.0803	-117.7918	16.236	33.423	9.26	78.3752	0.64	42	0	0	0	0	0	NA	"t"	1998-02-19 21:29:52	1998	"02"	"1998-02-19"	38441	42	0	21
"42"	199804	"DAVID STARR JORDAN"	"JD"	7	1998-04-03 08:30:00	32.7615	-117.7344	15.889	32.8	8.8	310	0.64	1998-04-03 09:00:00	32.7615	-117.8298	15.85	32.75	8.8	310	0.64	0	0	0	0	1	0	"1 se"	"t"	1998-04-03 08:30:00	1998	"04"	"1998-04-03"	38441	0	0	0
"43"	199802	"DAVID STARR JORDAN"	"JD"	8	1998-01-24 08:00:09	32.6379	-117.9792	17.413	33.874	11.78	318.9725	0.64	1998-01-24 08:30:39	32.5942	-118.06	16.361	33.589	7.41	296.5264	0.64	0	0	NA	0	0	0	NA	"t"	1998-01-24 08:00:09	1998	"01"	"1998-01-24"	38441	0	0	0
"44"	199707	"DAVID STARR JORDAN"	"JD"	8	1997-07-02 06:36:15	32.668	-117.911	19.632	33.566	10.54	277.5764	0.64	1997-07-02 07:04:17	32.6317	-117.9858	19.733	33.544	11.66	283.9841	0.64	0	0	0	0	NA	0	NA	"t"	1997-07-02 06:36:15	1997	"07"	"1997-07-02"	38441	0	0	0
"45"	199805	"DAVID STARR JORDAN"	"JD"	8	1998-05-01 20:00:04	32.9506	-118.0055	17.621	33.538	3.29	220.0499	0.64	1998-05-01 20:30:05	32.9844	-118.0961	17.618	33.539	4.73	200.1901	0.64	0	0	NA	0	3	0	"3 se"	"t"	1998-05-01 20:00:04	1998	"05"	"1998-05-01"	38441	0	0	0
"46"	199803	"DAVID STARR JORDAN"	"JD"	8	1998-02-19 21:59:52	33.0803	-117.7918	16.236	33.423	9.26	78.3752	0.64	1998-02-19 22:29:52	33.1369	-117.8624	16.17	33.413	5.98	77.5118	0.64	1	0	0	0	0	0	NA	"t"	1998-02-19 21:59:52	1998	"02"	"1998-02-19"	38441	1	0	0.5
"47"	199804	"DAVID STARR JORDAN"	"JD"	8	1998-04-03 09:00:00	32.7213	-117.8298	15.808	32.79	8.8	310	0.64	1998-04-03 09:30:00	32.6411	-117.9251	15.85	32.75	8.8	310	0.64	0	0	0	0	2	0	"2 se; 1 larval fish, 93.35"	"t"	1998-04-03 09:00:00	1998	"04"	"1998-04-03"	38441	0	0	0
"48"	199806	"DAVID STARR JORDAN"	"JD"	8	1998-06-13 08:31:20	35.8088	-121.5874	15.564	32.958	2.99	243.4765	0.64	1998-06-13 09:00:19	35.7338	-121.5403	15.804	32.957	1.34	91.4085	0.64	0	0	1	0	NA	0	NA	"t"	1998-06-13 08:31:20	1998	"06"	"1998-06-13"	38441	0	0	0
"49"	199806	"DAVID STARR JORDAN"	"JD"	9	1998-06-13 09:00:19	35.7338	-121.5403	15.804	32.957	1.34	91.4085	0.64	1998-06-13 09:30:20	35.6616	-121.4862	14.077	32.973	1.65	191.2513	0.64	0	0	0	0	NA	0	NA	"t"	1998-06-13 09:00:19	1998	"06"	"1998-06-13"	38441	0	0	0
"50"	199805	"DAVID STARR JORDAN"	"JD"	9	1998-05-01 20:30:05	32.9844	-118.0961	17.618	33.539	4.73	200.1901	0.64	1998-05-01 21:00:04	33.0269	-118.1853	17.842	33.497	5.56	182.4474	0.64	0	0	NA	0	2	0	"2 se"	"t"	1998-05-01 20:30:05	1998	"05"	"1998-05-01"	38441	0	0	0
"51"	199802	"DAVID STARR JORDAN"	"JD"	9	1998-01-24 08:30:39	32.5942	-118.06	16.361	33.589	7.41	296.5264	0.64	1998-01-24 09:00:52	32.5516	-118.1388	15.973	33.47	11.97	306.7769	0.64	0	0	NA	0	0	0	NA	"t"	1998-01-24 08:30:39	1998	"01"	"1998-01-24"	38441	0	0	0
"52"	199707	"DAVID STARR JORDAN"	"JD"	9	1997-07-02 07:04:17	32.6317	-117.9858	19.733	33.544	11.66	283.9841	0.64	1997-07-02 07:34:13	32.5882	-118.0655	19.576	33.533	12.6	287.427	0.64	0	0	0	0	NA	0	NA	"t"	1997-07-02 07:04:17	1997	"07"	"1997-07-02"	38441	0	0	0
"53"	199803	"DAVID STARR JORDAN"	"JD"	9	1998-02-19 22:29:52	33.1369	-117.8624	16.17	33.413	5.98	77.5118	0.64	1998-02-19 22:59:52	33.1941	-117.9343	15.96	33.333	5.96	103.4437	0.64	22	0	0	0	0	0	NA	"t"	1998-02-19 22:29:52	1998	"02"	"1998-02-19"	38441	22	0	11
"54"	199804	"DAVID STARR JORDAN"	"JD"	9	1998-04-03 11:59:55	32.6812	-117.9251	15.726	32.789	7.88	329.1166	0.64	1998-04-03 12:29:55	32.6325	-118.0083	15.699	32.706	7.99	332.2532	0.64	0	0	0	0	1	0	"7 larval fish; 1squid egg"	"t"	1998-04-03 11:59:55	1998	"04"	"1998-04-03"	38441	0	0	0
"55"	199802	"DAVID STARR JORDAN"	"JD"	10	1998-01-24 09:00:52	32.5516	-118.1388	15.973	33.47	11.97	306.7769	0.64	1998-01-24 09:28:42	32.5147	-118.2103	15.879	33.464	11.65	308.3465	0.64	0	0	NA	0	0	0	NA	"t"	1998-01-24 09:00:52	1998	"01"	"1998-01-24"	38441	0	0	0
"56"	199707	"DAVID STARR JORDAN"	"JD"	10	1997-07-02 07:34:13	32.5882	-118.0655	19.576	33.533	12.6	287.427	0.64	1997-07-02 08:04:13	32.5464	-118.1482	19.144	33.511	14.16	294.4489	0.64	0	0	0	0	NA	0	NA	"t"	1997-07-02 07:34:13	1997	"07"	"1997-07-02"	38441	0	0	0
"57"	199803	"DAVID STARR JORDAN"	"JD"	10	1998-02-19 22:59:52	33.1941	-117.9343	15.96	33.333	5.96	103.4437	0.64	1998-02-19 23:09:16	33.2126	-117.9563	16.329	33.426	4.66	125.1915	0.64	5	0	0	0	0	0	NA	"t"	1998-02-19 22:59:52	1998	"02"	"1998-02-19"	38441	5	0	2.5
"58"	199804	"DAVID STARR JORDAN"	"JD"	10	1998-04-03 12:29:55	32.6325	-118.0083	15.699	32.706	7.99	332.2532	0.64	1998-04-03 13:00:02	32.5852	-118.0898	15.252	32.756	9.12	331.2621	0.64	0	0	0	0	0	0	"copepods!"	"t"	1998-04-03 12:29:55	1998	"04"	"1998-04-03"	38441	0	0	0
"59"	199806	"DAVID STARR JORDAN"	"JD"	10	1998-06-13 09:30:20	35.6616	-121.4862	14.077	32.973	1.65	191.2513	0.64	1998-06-13 10:00:20	35.5933	-121.4273	13.447	33.052	2.99	128.0049	0.64	0	0	0	0	NA	0	NA	"t"	1998-06-13 09:30:20	1998	"06"	"1998-06-13"	38441	0	0	0
"60"	199805	"DAVID STARR JORDAN"	"JD"	10	1998-05-01 21:00:04	33.0269	-118.1853	17.842	33.497	5.56	182.4474	0.64	1998-05-01 21:30:04	33.0694	-118.2744	17.656	33.448	6.36	168.8024	0.64	0	0	NA	0	0	0	NA	"t"	1998-05-01 21:00:04	1998	"05"	"1998-05-01"	38441	0	0	0
"61"	199806	"DAVID STARR JORDAN"	"JD"	11	1998-06-13 10:00:20	35.5933	-121.4273	13.447	33.052	2.99	128.0049	0.64	1998-06-13 10:30:20	35.5253	-121.3729	14.929	32.825	3.33	52.7959	0.64	0	0	5	0	NA	0	NA	"t"	1998-06-13 10:00:20	1998	"06"	"1998-06-13"	38441	0	0	0
"62"	199805	"DAVID STARR JORDAN"	"JD"	11	1998-05-01 21:30:04	33.0694	-118.2744	17.656	33.448	6.36	168.8024	0.64	1998-05-01 22:00:03	33.1122	-118.3637	17.746	33.544	6.26	153.1554	0.64	0	0	NA	0	1	0	"1 se"	"t"	1998-05-01 21:30:04	1998	"05"	"1998-05-01"	38441	0	0	0
"63"	199802	"DAVID STARR JORDAN"	"JD"	11	1998-01-24 11:31:41	32.5056	-118.2525	15.551	33.425	18.64	323.6542	0.64	1998-01-24 12:00:28	32.4661	-118.3289	16.055	33.463	17.58	331.3133	0.64	0	0	NA	0	0	0	NA	"t"	1998-01-24 11:31:41	1998	"01"	"1998-01-24"	38441	0	0	0
"64"	199707	"DAVID STARR JORDAN"	"JD"	11	1997-07-02 08:04:13	32.5464	-118.1482	19.144	33.511	14.16	294.4489	0.64	1997-07-02 08:29:13	32.514	-118.2149	18.831	33.498	12.45	290.0165	0.64	0	0	0	0	NA	0	NA	"t"	1997-07-02 08:04:13	1997	"07"	"1997-07-02"	38441	0	0	0
"65"	199803	"DAVID STARR JORDAN"	"JD"	11	1998-02-20 00:59:51	33.4269	-118.2133	16.969	33.738	9.3	191.5223	0.64	1998-02-20 01:29:50	33.4827	-118.2829	16.962	33.718	9.81	149.61	0.64	1	2	0	0	0	0	NA	"t"	1998-02-20 00:59:51	1998	"02"	"1998-02-20"	38441	1	2	1.5
"66"	199804	"DAVID STARR JORDAN"	"JD"	11	1998-04-03 13:00:02	32.5852	-118.0898	15.252	32.756	9.12	331.2621	0.64	1998-04-03 13:30:02	32.5374	-118.1709	14.944	32.634	8.63	315.5329	0.64	0	0	0	0	0	1	"Pint jar of copepods"	"t"	1998-04-03 13:00:02	1998	"04"	"1998-04-03"	38441	0	0	0
"67"	199802	"DAVID STARR JORDAN"	"JD"	12	1998-01-24 12:00:28	32.4661	-118.3289	16.055	33.463	17.58	331.3133	0.64	1998-01-24 12:30:39	32.4319	-118.4122	17.035	33.844	15.96	327.4936	0.64	0	0	NA	0	0	2	NA	"t"	1998-01-24 12:00:28	1998	"01"	"1998-01-24"	38441	0	0	0
"68"	199707	"DAVID STARR JORDAN"	"JD"	12	1997-07-02 10:34:11	32.5164	-118.2581	18.696	33.505	17.48	294.1802	0.64	1997-07-02 11:04:11	32.4702	-118.3371	18.658	33.548	16.44	304.6285	0.64	0	0	0	0	NA	1	NA	"t"	1997-07-02 10:34:11	1997	"07"	"1997-07-02"	38441	0	0	0
